Royalty ID,Asset ISRC,Asset Title,Asset Version,Asset Artist,Asset Duration,Sale net receipts calculation,Sale net receipts,Contract deal term,Contract Reference,Reported Royalty,Asset/Product,Territory,Quantity,Sale Type,Sale User Type,Sale Start date,Sale End date,Sale Store Name,DSP,Royalty Calculation Base,Product Reference,Asset Reference,Product Share,Asset Share,Exchange Rate,Currency,Product Title,Product Artist,Product UPC,Product Catalog Number,Product Label,Report Run ID,Report ID,Sale ID,Statement Run ID,Statement Run Name
24712244890,DEXM82105766,Magic,,Sajad Torabi,208,€0.0019845386 × 100% of sale × 100% of asset × 1 €/€ = €,0.001984538625,80%,VageMedia,0.0015876309,Asset,PK,1,Synch,Other,2022-06-01,2022-06-30,Snap,Snap,royalty,4809146049,4809146078,1,1,1.0,EUR,Shadows,Sajad Torabi,8720623974053,F07709,Sajad Torabi,8626,302360,8713961244,4822,September Statement 
24712245487,DEXM82105766,Magic,,Sajad Torabi,208,€0.0019845386 × 100% of sale × 100% of asset × 1 €/€ = €,0.001984538625,80%,VageMedia,0.0015876309,Asset,ZA,1,Synch,Other,2022-06-01,2022-06-30,Snap,Snap,royalty,4809146049,4809146078,1,1,1.0,EUR,Shadows,Sajad Torabi,8720623974053,F07709,Sajad Torabi,8626,302360,8713961245,4822,September Statement 
24711821171,DEXM82105769,Yesterday,,Sajad Torabi,141,€0.0037925503 × 100% of sale × 100% of asset × 1 €/€ = €,0.00379255025,80%,VageMedia,0.0030340402,Asset,AE,1,Video Stream (Audio + Video),,2022-06-01,2022-06-30,Youtube Ad Supported,Youtube Ad Supported,royalty,4809146049,4809146120,1,1,1.0,EUR,Shadows,Sajad Torabi,8720623974053,F07709,Sajad Torabi,8626,302360,8713545573,4822,September Statement 
24470075783,DEXM82106044,Hamteami,,Sina Sae,233,€0.001813161 × 100% of sale × 100% of asset × 1 €/€ = €,0.001813161,80%,VageMedia,0.0014505288,Asset,AE,1,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675054894,4822,September Statement 
24470086965,DEXM82106044,Hamteami,,Sina Sae,233,€0.00263 × 100% of sale × 100% of asset × 1 €/€ = €,0.00263,80%,VageMedia,0.002104,Asset,AT,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675060795,4822,September Statement 
24470104201,DEXM82106044,Hamteami,,Sina Sae,233,€0.010462974 × 100% of sale × 100% of asset × 1 €/€ = €,0.010462974,80%,VageMedia,0.0083703792,Asset,AU,3,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675070285,4822,September Statement 
24470103611,DEXM82106044,Hamteami,,Sina Sae,233,€0.003487658 × 100% of sale × 100% of asset × 1 €/€ = €,0.003487658,80%,VageMedia,0.0027901264,Asset,AU,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675070297,4822,September Statement 
24470103823,DEXM82106044,Hamteami,,Sina Sae,233,€0.000613605 × 100% of sale × 100% of asset × 1 €/€ = €,0.000613605,80%,VageMedia,0.000490884,Asset,AZ,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675070780,4822,September Statement 
24470112131,DEXM82106044,Hamteami,,Sina Sae,233,€0.002863 × 100% of sale × 100% of asset × 1 €/€ = €,0.002863,80%,VageMedia,0.0022904,Asset,BE,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675075379,4822,September Statement 
24470111942,DEXM82106044,Hamteami,,Sina Sae,233,€0.00014505 × 100% of sale × 100% of asset × 1 €/€ = €,0.00014505,80%,VageMedia,0.00011604,Asset,BG,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675075754,4822,September Statement 
24470115727,DEXM82106044,Hamteami,,Sina Sae,233,€0.038157515 × 100% of sale × 100% of asset × 1 €/€ = €,0.038157515,80%,VageMedia,0.030526012,Asset,BR,26,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675077686,4822,September Statement 
24470145979,DEXM82106044,Hamteami,,Sina Sae,233,€0.010389323 × 100% of sale × 100% of asset × 1 €/€ = €,0.010389323,80%,VageMedia,0.0083114584,Asset,CA,4,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675092458,4822,September Statement 
24470141939,DEXM82106044,Hamteami,,Sina Sae,233,€0.11428255 × 100% of sale × 100% of asset × 1 €/€ = €,0.11428255,80%,VageMedia,0.09142604,Asset,CA,44,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675092478,4822,September Statement 
24470144225,DEXM82106044,Hamteami,,Sina Sae,233,€0.051946614 × 100% of sale × 100% of asset × 1 €/€ = €,0.051946614,80%,VageMedia,0.0415572912,Asset,CA,20,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675092491,4822,September Statement 
24470142359,DEXM82106044,Hamteami,,Sina Sae,233,€0.012986653 × 100% of sale × 100% of asset × 1 €/€ = €,0.012986653,80%,VageMedia,0.0103893224,Asset,CA,5,Streaming,Student,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675092504,4822,September Statement 
24470142362,DEXM82106044,Hamteami,,Sina Sae,233,€0.002597331 × 100% of sale × 100% of asset × 1 €/€ = €,0.002597331,80%,VageMedia,0.0020778648,Asset,CA,1,Streaming,Trial,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675092516,4822,September Statement 
24470154272,DEXM82106044,Hamteami,,Sina Sae,233,€0.003945054 × 100% of sale × 100% of asset × 1 €/€ = €,0.003945054,80%,VageMedia,0.0031560432,Asset,CH,1,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675097181,4822,September Statement 
24470158011,DEXM82106044,Hamteami,,Sina Sae,233,€0.002307 × 100% of sale × 100% of asset × 1 €/€ = €,0.002307,80%,VageMedia,0.0018456,Asset,CY,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675098461,4822,September Statement 
24470161027,DEXM82106044,Hamteami,,Sina Sae,233,€0.00158 × 100% of sale × 100% of asset × 1 €/€ = €,0.00158,80%,VageMedia,0.001264,Asset,CZ,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675099325,4822,September Statement 
24470156502,DEXM82106044,Hamteami,,Sina Sae,233,€0.0079 × 100% of sale × 100% of asset × 1 €/€ = €,0.0079,80%,VageMedia,0.00632,Asset,CZ,5,Streaming,Student,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675099332,4822,September Statement 
24470191482,DEXM82106044,Hamteami,,Sina Sae,233,€0.290933 × 100% of sale × 100% of asset × 1 €/€ = €,0.290933,80%,VageMedia,0.2327464,Asset,DE,107,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675115028,4822,September Statement 
24470191876,DEXM82106044,Hamteami,,Sina Sae,233,€0.005438 × 100% of sale × 100% of asset × 1 €/€ = €,0.005438,80%,VageMedia,0.0043504,Asset,DE,2,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675115051,4822,September Statement 
24470191289,DEXM82106044,Hamteami,,Sina Sae,233,€0.005438 × 100% of sale × 100% of asset × 1 €/€ = €,0.005438,80%,VageMedia,0.0043504,Asset,DE,2,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675115063,4822,September Statement 
24470186405,DEXM82106044,Hamteami,,Sina Sae,233,€0.008157 × 100% of sale × 100% of asset × 1 €/€ = €,0.008157,80%,VageMedia,0.0065256,Asset,DE,3,Streaming,Student,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675115085,4822,September Statement 
24470192669,DEXM82106044,Hamteami,,Sina Sae,233,€0.013595 × 100% of sale × 100% of asset × 1 €/€ = €,0.013595,80%,VageMedia,0.010876,Asset,DE,5,Streaming,Trial,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675115099,4822,September Statement 
24470205958,DEXM82106044,Hamteami,,Sina Sae,233,€0.001316103 × 100% of sale × 100% of asset × 1 €/€ = €,0.001316103,80%,VageMedia,0.0010528824,Asset,ES,4,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675123355,4822,September Statement 
24470209838,DEXM82106044,Hamteami,,Sina Sae,233,€0.010798232 × 100% of sale × 100% of asset × 1 €/€ = €,0.010798232,80%,VageMedia,0.0086385856,Asset,ES,5,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675123364,4822,September Statement 
24470210460,DEXM82106044,Hamteami,,Sina Sae,233,€0.004819933 × 100% of sale × 100% of asset × 1 €/€ = €,0.004819933,80%,VageMedia,0.0038559464,Asset,ES,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675123374,4822,September Statement 
24470232573,DEXM82106044,Hamteami,,Sina Sae,233,€0.0096 × 100% of sale × 100% of asset × 1 €/€ = €,0.0096,80%,VageMedia,0.00768,Asset,FR,4,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675133031,4822,September Statement 
24470225902,DEXM82106044,Hamteami,,Sina Sae,233,€0.0288 × 100% of sale × 100% of asset × 1 €/€ = €,0.0288,80%,VageMedia,0.02304,Asset,FR,12,Streaming,Other,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675133043,4822,September Statement 
24470226103,DEXM82106044,Hamteami,,Sina Sae,233,€0.0024 × 100% of sale × 100% of asset × 1 €/€ = €,0.0024,80%,VageMedia,0.00192,Asset,FR,1,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675133058,4822,September Statement 
24470246825,DEXM82106044,Hamteami,,Sina Sae,233,£0.056112 × 100% of sale × 100% of asset × 1.187 €/£ = €,0.066604944,80%,VageMedia,0.0532839552,Asset,GB,16,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.187,GBP,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675143702,4822,September Statement 
24470252515,DEXM82106044,Hamteami,,Sina Sae,233,£0.014028 × 100% of sale × 100% of asset × 1.187 €/£ = €,0.016651236,80%,VageMedia,0.0133209888,Asset,GB,4,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.187,GBP,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675143722,4822,September Statement 
